n,plus,multi,minus
598,2e-05,2e-05,2e-05
599,2.1e-05,2.1e-05,2.1e-05
600,2e-05,2.1e-05,2.3e-05
601,2.1e-05,2.1e-05,2.1e-05
602,2.1e-05,2.1e-05,2.1e-05
603,2e-05,2e-05,2.1e-05
604,2.1e-05,2.1e-05,2.1e-05
605,2.1e-05,2.1e-05,2.1e-05
606,2.1e-05,2e-05,2.1e-05
607,2e-05,2.1e-05,2.1e-05
608,2.1e-05,2e-05,2.1e-05
609,2.1e-05,2e-05,2.1e-05
610,2.1e-05,2e-05,2.1e-05
611,2.1e-05,2e-05,2.1e-05
612,2e-05,2.1e-05,2.1e-05
613,2e-05,2.1e-05,2.1e-05
614,2e-05,2.1e-05,2.1e-05
615,2.1e-05,2.1e-05,2.1e-05
616,2.1e-05,2.1e-05,2.1e-05
617,2.1e-05,2.1e-05,2.1e-05
618,2.1e-05,2.1e-05,2.1e-05
619,2.7e-05,2.1e-05,2.1e-05
620,2.2e-05,2.1e-05,2.1e-05
621,2.1e-05,2.1e-05,2.1e-05
622,2.1e-05,2.1e-05,2e-05
623,2.1e-05,2.1e-05,2.1e-05
624,2.5e-05,2.1e-05,2.1e-05
625,2.2e-05,2.1e-05,2.2e-05
626,2.1e-05,2.1e-05,2.2e-05
627,2.1e-05,2.1e-05,2.1e-05
628,2.1e-05,2.1e-05,2.1e-05
629,2.1e-05,2.1e-05,2.1e-05
630,2.1e-05,2.1e-05,2.1e-05
